Part Name,Quantity,Units,Unit Cost,Part Cost,Full Price,Part Link,Part Description,Part Number
Lead Screw Couplers,1,5,$2.00,$9.99,$9.99,https://www.amazon.com/AFUNTA-Flexible-Couplings-Compatible-Machines/dp/B07JL1QYLS/ref=sr_1_3?crid=K36AZKVTKPUG&dib=eyJ2IjoiMSJ9.nCkjN3woOBJq_Qjzz0tnQEmIjJX_4kL6ioYTN0DR0h80lZrIcXGuLwTA9-6rkVnfn9z4qTOlX5KvrvxlSF8wd30JyQoXhzqLUkhneyNetyPR_uIJ5p-g4NZeOzQqiBbEoo6_DezTOBXFU9Go3cxfWisAv5ByJNrbHqugm3M5H0FHGTIWnZl0o1awgAAyYD41jDHNhRmgEtkqoIqUekk4xfwhpj9D2HYiwmWuGTqjMxk.cKgm62bY5BPctHansE30gYn7oc26pzrtZgJ6Qi1V_PE&dib_tag=se&keywords=shaft+coupler&qid=1781884957&sprefix=shaft+c%2Caps%2C145&sr=8-3,"AFUNTA 5 Pcs Flexible Couplings 5mm to 8mm Compatible with NEMA 17 Stepper Motors, Used in Small CNC Machines & 3D Printer Prusa i3 or ORD Bot with 2 Pcs Allen Wrench",	‎B07JL1QYLS
mini fan 2-pack,1,4,$2.25,$8.99,$8.99,https://www.amazon.com/MakerFocus-Printer-40X40X10mm-Appliances-Replacement/dp/B07CH6YC32?crid=3UWX9BKJCO16J&dib=eyJ2IjoiMSJ9.y-TnStZC7sxMJFsJ7gPHewTRjF-ltXfk3RTd3hkqy2oDsNrqqEYqsF5EAd_RmsgkttHgw4byfRq85-pK8ZGsBzVoLG7eVdRmAliRmymUw9NNP2lDLCQnI-UCH8vUeZes4ozG3zuN9je7DrWGTfzaJABTvSYckZMxac19YA8A-Kul8HZFc2J7uhKyQh_Xullu9fCfGFRqOM7W_QjlmwLyKsWh9ACAZtbT4WlqEce1odI.LCPGkR4vpsk-8R2Fv7sb-KAodGb_A0h0KBdfJRrg-k0&dib_tag=se&keywords=mini+fan+40x40x10&qid=1740965381&sprefix=mini+fan+40x40x10%2Caps%2C111&sr=8-3,"4pcs 3D Printer Fan 12V, 40mm 12 Volt 0.08A DC Mini Quiet Cooling 40 x 40 x10mm with 28cm Cable for 3D Printer, DVR and Other Small Appliances Series Repair Replacement",N/A
Sherpa Extruder,1,1,$36.89,$36.89,$36.89,https://www.amazon.com/Accessories-Lightweight-Extruder-Compatible-Ender3v2/dp/B0CNPG9QB2/ref=sr_1_3?crid=KS7XZHXRZLX4&dib=eyJ2IjoiMSJ9.Aw7RjsU6uSzrgfBQKsCiBcrhQy5PcLg8tzIYsyAf8yewhQi-jS8kOf86X76U1fG5sUyDbywMStwb6DZW-8KtfDnNOSERoLN75VA9XAEyRldcKSI-XcC3o_lBuFuEiewS0tbqwXitzge_IO0M_eWO2mYv3FbYzViONL0TA1ve1czywACQFRQHxsJDrmVTTLV5Q0zHt6eitFbsyk2ZnvhiYFBquA3YmbCC2AubMrLT5XE.SEfxujLbPBS_3tHdYynz2DakQ7fuJ-PmFCqHP6doqtg&dib_tag=se&keywords=sherpa%2Bextruder%2B3d%2Bprinter&qid=1741308773&sprefix=sherpa%2Bextruder%2B3d%2Bprinter%2Caps%2C82&sr=8-3&th=1,Upgrade 3D Printer Accessories Parts Lightweight Sherpa Dual Gear Mini Extruder with Motor Compatible with Ender3v2 Pro Cr10 Q5 Qq-S Voro2.4 V0.1 0.2,N/A
Hot Bed,1,1,$23.99,$23.99,$23.99,https://www.amazon.com/Aluminum-Heated-Upgrade-Printer-220x220mm/dp/B09QWBSD3B?crid=FQN17CKZ3K8B&dib=eyJ2IjoiMSJ9.0eWWyYBObXSUo4CHCxv_AEto23RNPW7UU_uBv9gk-jOWLe3cV_jGvY84SU3deLGxBlGGmDs6N66MX7xE8EFfhj1JUVPZtJYPFCihjWlSGZlbbmR-Swlp9qhUwlDl04uQmwvg4OvDiXE8pWGNrXXKZcbobukqES-jFiRa_iI0j2lRF55Kxih0I08wxh0Mw9Gf97UMsaGcP43NC9ELoQR5PH_oz8pGxyoGBMmTt5pX0j8.4HsQMLr9NV6YSqUqGnS3pR3RJFdWPcbReihZclI9Osg&dib_tag=se&keywords=Hot+bed+3d+printer&qid=1740965886&sprefix=hot+bed+3d+printe%2Caps%2C113&sr=8-2,"Aluminum MK2 MK3 12V Heated Bed Hotbed Upgrade with Hotbed Wire Cable Line for Anet A8 A6 3D Printer, Black 220x220mm",N/A
Power Supply,1,1,$22.99,$22.99,$22.99,https://www.amazon.com/SUPERNIGHT-Switching-Universal-Regulated-Transformer/dp/B01LATMSGS/ref=sr_1_3?crid=2OECRN5XNCH3H&dib=eyJ2IjoiMSJ9.vEHkVFF9ECp11JLz4D6sFlT-MbrzC3qQPXx_xINIcnYxTd78aBb2uCmHOfZor2eTKZjeNIJGcivDOTlvYGOoN96BJf2Ma1nO-FIfKEcEOoVqtLEimyJHD8KBfziIVl2Ug52MuZQB4t3n58oFwdpaSUPn_CgfKdMX5WIbwqlzwg7-iNQBSsITg9yLrrokkEv-aQMIZlvBfnPljF5LRVFQ3c2V7EJtG5S5qw6n0UJXWYo.QWhaSl4jn7XiBPM_kpmGYDaI4HDqwXk0gCx71_liNmc&dib_tag=se&keywords=3d+printer+power+supply&qid=1741305553&sprefix=3d+Printer+power+s%2Caps%2C102&sr=8-3,"SUPERNIGHT 12V 30A Switching Power Supply, 110-240 Volt AC to DC 360W Universal Regulated Switching Transformer Adapter Driver for 3D Printer, CCTV, Radio, LED Strip Lights,Computer Project",N/A
PTFE Tubes,1,1,$5.99,$5.99,$5.99,https://www.amazon.com/Ultra-Smooth-Teflon-Tubing-Friction-Creality/dp/B0DLV5C1JS/ref=sxin_16_pa_sp_search_thematic_sspa?content-id=amzn1.sym.95e4d6bd-d93f-4ee1-9766-ff64f54d2f71%3Aamzn1.sym.95e4d6bd-d93f-4ee1-9766-ff64f54d2f71&crid=761UIOMD8WWO&cv_ct_cx=ptfe%2Btubes&keywords=ptfe%2Btubes&pd_rd_i=B0DLV433F6&pd_rd_r=d13ec038-7ff1-456a-b310-4c4a7e8a850c&pd_rd_w=ZkaR0&pd_rd_wg=joVQ2&pf_rd_p=95e4d6bd-d93f-4ee1-9766-ff64f54d2f71&pf_rd_r=XH7SMSNDQA503Q5Q8D42&qid=1741908107&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ptfe%2Btubes%2Caps%2C184&sr=1-1-6024b2a3-78e4-4fed-8fed-e1613be3bcce-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM&th=1,"Ultra-Smooth PTFE Teflon Tubing 2m, 2.5mm ID × 4mm OD PTFE Tube Fits Direct Drive Extruder 3D Printer For Bambu Lab A1/A1 mini/P1P/P1S/X1C,Creality K1 Series/Ender 3 V3 -Translucent",N/A
E3D V6,1,1,$13.99,$13.99,$13.99,https://www.amazon.com/Wangdd22-1-75mm-Printer-Extruder-Accessories/dp/B06XBXDJY3?crid=2W3MYHDJS9NR7&dib=eyJ2IjoiMSJ9.bVPU7Bzh52MCPKkPD0eCw220871Zo3hHbXccaCnkSaYU7J61gnNxZxz__cbeM3jbGLGSizgoyk4L4xZPMTv8jwnEr70lAAFQgODWCm8hXrjczAVtIgZxJCsNZLGt_EGcSFkSgWncR3HDiW_CchWkF1AiK89ifpS-BlLNEziU1M9Wbd1yEVcRBJY5SrptZg26za5ZeOiUmFn93-M1FFXQXbZBUnqVAlQb-yC4vBCY-Bg.UeE-nR1Cd7L1r47z6rLpD9utms5UgRW7EbcOxVAmMeo&dib_tag=se&keywords=e3d+v6+hotend&qid=1740950464&sprefix=e3d+v6%2Caps%2C128&sr=8-3,E3D V6 Hot End Full Kit 1.75mm 12V Bowden/RepRap 3D Printer Extruder Parts Accessories 0.4mm Nozzle,N/A
M3-Screws,1,1,$8.99,$8.99,$8.99,https://www.amazon.com/800Pcs-Socket-Assortment-Washers-Printing/dp/B0DR92YVL5/ref=sr_1_2_sspa?crid=2LL9KCEOM7YSW&dib=eyJ2IjoiMSJ9.t22PTVLIa6QMwX5JRoWDFzWTSqh33lPIMTX6IcNepMR6cjs465qazqcW5lHyN57Pmn4IjUtTgKPihO9sVTe86o6kZM9XCgFQitTXwx-1h4sb_kAnHH3sFpTJPK03cWkGzDrmhT1DenBIpO7QGmSeHA3FZoHvPIAvTfnuN6-B9zgXJ7iYxYryg5ZBREZdExADnzpLeRbDU97ERzaR1tXfoxlszQODruIPy08sEm-jMLnboucUck3mUnBDfbc0INpOAqJO-oZX9Q_j4_AMSjn5RldYmZ7cwvNdprCUC3M0Im8.mP2NKh5puy2Jo92OhIZkrF7EVti7tSMq0sFj0eGbXjQ&dib_tag=se&keywords=M3+screws&qid=1741441440&s=industrial&sprefix=m3+screws%2Cindustrial%2C148&sr=1-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,"800Pcs M3 Screw Kit,Hex Socket Head Cap Screws Assortment with Nuts and Washers 12.9 Grade Alloy Steel Black Zinc Plated Metric Screws,M3 Bolts for 3D Printing",N/A
M5-Screws,1,1,$9.99,$9.99,$9.99,https://www.amazon.com/Bemaka-200PCS-Button-Washers-Assortment/dp/B0CSY7FMQD/ref=sr_1_4?crid=2DO218AJD3YAF&dib=eyJ2IjoiMSJ9.SDZPDBUYICv-Zt1x-SJvff_E0kkm_GP-1o-HeEpg9Bufa6kpa-FzWdTXVfBPNPdZx5M-vqTLQLjxJYi27Iu0tAXLrX31ojkXxg4xJtbaRAjGAR52H1kBTIjnl0eXum28_VvOeVv6kaaqAZ0VeJk-Ajxx_Om5VCkfHKo0r50ri7NMZwKJuEqEkLnPJX2vXF7dgG0NLFOp7QHO50TjQOpMKG3R0wYp5upYqND8Fms70VyhI3uu-o8_R5NP_R_yJL66gHIzRB9TzWy3ezBp-a5KvMdtcAW24GVpsHUef0SGGFDpnqYTwh4NiQheG7CWprmJZfSkKB0FGLJrTB-j6Pg8kaJEc-ce7ZAPoPZ9YF8lZmA.5zcqWqL5CVdpJ0hNq3EraclWPrmoQeA-MtTZviEXtHg&dib_tag=se&keywords=M5%2B45&qid=1741441528&s=industrial&sprefix=m5%2B45%2Cindustrial%2C80&sr=1-4&th=1,"200PCS Black M5 Button Head Hex Socket Cap Screws, M5 x 30/35/40/45/50mm Metric Screws Bolts Nuts Washers Assortment Kit, 10.9 Grade Alloy Steel",N/A
M3-M5 heated Inserts,1,1,$15.98,$15.98,$15.98,https://www.amazon.com/Ktehloy-Threaded-Assortment-Printing-Components/dp/B0CLKDPN65/ref=sr_1_3?crid=169AB9IIO203F&dib=eyJ2IjoiMSJ9.PlCFiMcVihX4a7C0awlQ1GQ6A0SQGpr602KSEq5OVM6tA5FCZV-AtS3pSo3_Aw4jWTaUv_-Zu7UpnMmLcPiKJoSxwkcLNf3-RX0KizmlzHIG39-rDfYYTuiqcxZ5orvLW2FWtegMjme1VPBPRSOuw-e3QPJnd85Z_E4EL4FEuGE6fm1ILlv-QQmgIsL8pTfZN4Dbr3tpE052f8wK1PKkK24J0qMgNgy1huEKOBIXJC0.w_ctTdK4U_meq6YYEr_FUwxoDrKqXj4xhujwcydcyrE&dib_tag=se&keywords=Heat%2Binserts%2BM3-M5&qid=1741478023&sprefix=heat%2Binserts%2Bm3-m5%2Caps%2C112&sr=8-3&th=1,"400Pcs Metric Heat Set Insert, M2 M2.5 M3 M4 M5 M6 Female Thread Knurled Nuts Assortment Kit, Brass Threaded Inserts for Plastic and 3D Printing Components (Threaded Inserts Ket)",N/A
"Bed Carriage ",1,1,$25.99,$25.99,$25.99,https://www.amazon.com/Befenybay-Modular-Carriage-Upgrade-Aluminum/dp/B082ZZ9LSV/ref=sr_1_2?crid=1QIWQBGWOK3U4&dib=eyJ2IjoiMSJ9.j0X5X-vWnWUXD_JzBWkWmrP1_2zarlOxFuY2EKi9y5vhZNevO2SmVspZoC195CKiT9JEtI6eYQv1hhZt7pqHoKAlLBKxlIQCG2NII7_s5ZLtcr5NLKsDe5RGRUHgUVGgEunWds1saetzKfD7bWesMDPG_DdDYdaF8h2tSc0FbFGPAI6e4uE28KDvGaBW3JfgNxXNfH08Wg0eqsR7nFKkW2T1WYTe0Y4PaELix40fauw.5DwSNgmQys5oo8brXnrbln_CNhYWXFBW7Pw4Jf_peLw&dib_tag=se&keywords=ender%2B3%2Bbed%2Bcarriage%2B235x235&qid=1781888068&sprefix=ender%2B3%2Bbed%2Bcarriage%2B235x235%2Caps%2C91&sr=8-2&th=1,Modular Y Carriage Plate Upgrade for 2040V Aluminum Profile for Ender3/Ender3 Pro 3D Printer (190mm),N/A
TOTAL,,,,$447.13,$427.15
